\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  07093b      3b       240    1         10 66.820999999999998   11593.7379335761   0.59099999999999997 1281070429.1920099 2010-08-06 04:53:49.192           07093b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07104a      4a       215    1         10 68.103999999999999 40165.874370992198                28.648 1281099001.3280001 2010-08-06 12:50:01.328           07104a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07104a      4a       216    1         10 68.585999999999999 40176.878539264202    28.911000000000001   1281099012.33301 2010-08-06 12:50:12.333           07104a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07105b      5b       239    1         10 67.972999999999999 2968.2282654046999    47.218000000000004     1281104711.348 2010-08-06 14:25:11.348           07105b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07105b      5b       240    1         10 68.450000000000003 2979.2365320920899    47.283000000000001 1281104722.3569901 2010-08-06 14:25:22.357           07105b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07108a      8a       215    1         10 68.689999999999998 8689.2564144730604    64.326999999999998 1281110432.3759899 2010-08-06 16:00:32.376           07108a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07108a      8a       216    1         10 69.156000000000006 8700.2605827450807                64.012     1281110443.381 2010-08-06 16:00:43.381           07108a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07109b      9b       239    1         10 68.578000000000003 14399.284493744401    78.230000000000004     1281116142.404 2010-08-06 17:35:42.404           07109b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07109b      9b       240    1         10 69.039000000000001 14410.288662016401    77.936999999999998 1281116153.4090099 2010-08-06 17:35:53.409           07109b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07112a      2a       215    1         10 69.301000000000002 20120.316741168499    86.614999999999995   1281121863.43698 2010-08-06 19:11:03.437           07112a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07112a      2a       216    1         10 69.751000000000005   20131.3168110847    85.977999999999994     1281121874.437 2010-08-06 19:11:14.437           07112a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07113b      3b       239    1         10 69.206000000000003 25830.344820439801    82.024000000000001 1281127573.4649899 2010-08-06 20:46:13.465           07113b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07113b      3b       240    1         10 69.650999999999996   25841.3448903561    81.527000000000001 1281127584.4650099 2010-08-06 20:46:24.465           07113b240-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07116a      6a       215    1         10 69.927999999999997   31551.3729695082    64.423000000000002   1281133294.49299 2010-08-06 22:21:34.493           07116a215-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07116a      6a       216    1         10 70.361000000000004 31562.373039424401    64.188000000000002   1281133305.49301 2010-08-06 22:21:45.493           07116a216-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07117b      7b       239    1         10 69.838999999999999 37261.401048779502    46.219000000000001 1281139004.5209999 2010-08-06 23:56:44.521           07117b239-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  07117b      7b       241    1         10 70.266999999999996 37272.401118636102    46.026000000000003 1281139015.5210199 2010-08-06 23:56:55.521           07117b241-w1-int-1b.fits 
